,2203,2205,105,201,107,203,109,205,111,207,113,209,115,211,117,213,119,215,121,217,123,219,125,221,127,223,129,225,131,227,133,229,135,231,137,233,139,235,141,2201,143,101,103
,A12,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A12,A1,A1,A1,A1,A1
,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
wsrod,,,5:02,5:32,6:02,6:32,7:02,7:32,8:02,8:32,9:02,9:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:32,15:02,15:32,16:02,16:32,17:02,17:32,18:02,18:32,19:02,19:32,20:02,20:32,21:02,21:32,22:02,22:32,23:02,,23:32,24:02,24:32
wocho,,,5:04,5:34,6:04,6:34,7:04,7:34,8:04,8:34,9:04,9:34,10:04,10:34,11:04,11:34,12:04,12:34,13:04,13:34,14:04,14:34,15:04,15:34,16:04,16:34,17:04,17:34,18:04,18:34,19:04,19:34,20:04,20:34,21:04,21:34,22:04,22:34,23:04,,23:34,0:04,0:34
wzach,,,5:07,5:37,6:07,6:37,7:07,7:37,8:07,8:37,9:07,9:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:37,18:07,18:37,19:07,19:37,20:07,20:37,21:07,21:37,22:07,22:37,23:07,,23:37,0:07,0:37
wreor,,,5:12,5:42,6:12,6:42,7:12,7:42,8:12,8:42,9:12,9:42,10:12,10:42,11:12,11:42,12:12,12:42,13:12,13:42,14:12,14:42,15:12,15:42,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12,20:42,21:12,21:42,22:12,22:42,23:12,,23:42,0:12,0:42
walje,,,5:14,5:44,6:14,6:44,7:14,7:44,8:14,8:44,9:14,9:44,10:14,10:44,11:14,11:44,12:14,12:44,13:14,13:44,14:14,14:44,15:14,15:44,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:14,20:44,21:14,21:44,22:14,22:44,23:14,,23:44,0:14,0:44
wrako,,,5:16,5:46,6:16,6:46,7:16,7:46,8:16,8:46,9:16,9:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,,23:46,0:16,0:46
wsalo,,,5:18,5:48,6:18,6:48,7:18,7:48,8:18,8:48,9:18,9:48,10:18,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:18,14:48,15:18,15:48,16:18,16:48,17:18,17:48,18:18,18:48,19:18,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,,23:48,0:18,0:48
opacz,,,5:20,5:50,6:20,6:50,7:20,7:50,8:20,8:50,9:20,9:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,,23:50,0:20,0:50
